JPT_KOD_JE
260204
260206
260201
260401
260411
260503
260508
260605
260908
260804
261204
260706
260805
260901
260907
280601
280407
261301
280701
281401
280104
281503
281501
286201
281902
280204
280301
280202
300104
121808
021203
041411
041602
060103
060118
060114
060111
060113
100301
141701
141703
143702
200201
041606
041806
060206
060214
080205
080201
080203
100408
141803
141902
181604
181613
200206
200208
041812
246401
241105
241102
240905
241609
241610
143306
143303
120806
120904
040705
320805
320902
061403
061405
061409
220605
101903
101803
180509
180709
022601
022602
040707
040708
040802
321002
321005
061507
061603
061605
061701
102001
102005
102105
140301
140303
140314
180903
020404
321203
321202
321303
061801
061807
221207
221204
101502
142707
142901
160102
180205
180103
120607
201108
201207
201304
061303
101605
101606
142909
142801
142803
142807
142808
180404
120701
120711
040302
040308
040502
040505
320705
320603
100211
100202
020201
041705
241711
241505
240309
182102
180105
141212
200506
021904
240306
060702
060603
060609
080803
080802
080902
080901
101002
101006
101008
101103
142303
142307
160801
120206
200806
022101
240404
060808
060811
080903
101204
101208
101212
142504
160908
120302
120404
201008
022203
022302
320204
101403
142512
142605
142608
161104
161106
161107
120502
200904
201105
201107
061102
220304
221206
141001
141002
140604
140602
181003
121207
121502
020506
040809
040808
041101
321402
321405
061905
062008
221312
221313
221406
141110
141201
141214
141215
140703
181004
121607
020807
121102
120509
020814
020809
061202
260108
140404
142204
200802
247701
302503
226401
221101
221106
101304
101904
101604
200604
280703
280103
241307
240803
143307
320706
260104
302116
300203
300206
301307
301304
301801
301903
301901
301909
301907
302106
302404
302203
302805
303103
301014
301010
300904
300709
300807
300906
301003
303107
301206
240601
301203
240508
080302
080402
080503
100610
100705
100704
100707
142012
160501
160505
021605
021701
240205
240209
060408
060503
060602
080505
080605
080703
100905
142102
181905
321704
066201
066401
081103
221506
141301
181201
121613
020908
041304
041403
321801
321803
060102
081105
141406
141503
181305
260101
260404
260406
260602
260501
261001
260803
260703
261206
261302
266101
280406
280504
280803
280805
280905
281409
280902
281004
281204
281604
281601
281603
281506
280203
280102
280201
301301
300103
121804
041410
041605
060104
060105
060115
060117
060119
141706
141702
143504
143705
181408
126101
021802
021805
021303
060207
060212
060213
080207
100603
141910
146201
181610
181702
200211
220701
041810
041809
041811
041905
246901
241201
241402
241403
241602
180410
120802
040704
061411
061408
220602
220604
220608
220903
180511
180701
180707
120909
121001
121008
121004
020206
040801
061703
061702
221004
221201
140207
140209
140310
180902
180904
180908
121014
121016
020304
321304
061813
101503
101509
142907
120608
201206
201302
040102
040109
040202
040205
320504
061301
220401
101603
101607
101609
143003
143201
180304
180407
180408
120705
320604
301506
160403
020306
020702
320905
260412
241107
240307
180702
160204
200504
022002
240304
060705
080705
142305
142402
160804
160805
120201
120205
022005
022004
026501
240412
240416
081005
101106
142405
142406
142509
142506
160913
161001
201005
022303
022401
320203
060906
060912
060910
220104
101305
101402
101404
142510
142602
200905
201103
020101
020105
040103
320404
320301
061004
061006
061110
101409
181005
121110
121201
121308
121401
121403
020502
321406
321409
066101
061901
061908
221404
140707
181006
181101
181104
181108
121303
121507
121602
020802
041002
041202
121701
121105
121013
121007
060708
022507
022502
022407
021002
020811
020608
086201
320407
101508
141508
247301
101301
181504
181614
241304
121402
143703
021903
106101
101303
141602
280705
302117
220803
140205
101806
101804
141611
141601
320701
320508
143803
260106
301602
301404
301401
301701
301902
301904
302110
302804
302801
302707
303102
303001
300503
301007
301012
306301
300305
300908
300911
300901
300909
300310
300407
240602
301201
301104
240607
240504
240702
240704
060309
060304
060312
080406
100702
141908
141907
141915
160301
160303
181705
181806
021705
046101
040404
040407
240101
060404
060406
060504
060502
060606
060601
080603
100802
100907
100906
142103
182103
321505
062013
081101
140801
140905
181203
181202
321805
060110
100106
100201
100204
100203
141509
141511
